rank	rating	title	year	votes	url
201	8.0	Anatomy of a Murder 	1959	28,428	/title/tt0052561/
202	8.0	The Exorcist 	1973	190,830	/title/tt0070047/
203	8.0	The Wild Bunch 	1969	46,491	/title/tt0065214/
204	8.0	Rope 	1948	58,280	/title/tt0040746/
205	8.0	The Man Who Shot Liberty Valance 	1962	35,591	/title/tt0056217/
206	8.0	Stalag 17 	1953	30,242	/title/tt0046359/
207	8.0	Barry Lyndon 	1975	62,827	/title/tt0072684/
208	8.0	The Artist (2	11/I	115,517	/title/tt1655442/
209	8.0	Sleuth 	1972	27,161	/title/tt0069281/
210	8.0	Stalker 	1979	38,849	/title/tt0079944/
211	8.0	Infernal Affairs 	2002	57,669	/title/tt0338564/
212	8.0	In the Name of the Father 	1993	55,644	/title/tt0107207/
213	8.0	Roman Holiday 	1953	56,292	/title/tt0046250/
214	8.0	The Truman Show 	1998	351,248	/title/tt0120382/
215	8.0	Memories of Murder 	2003	28,010	/title/tt0353969/
216	8.0	Pirates of the Caribbean: The Curse of the Black Pearl 	2003	462,886	/title/tt0325980/
217	8.0	Monsters, Inc. 	2001	281,763	/title/tt0198781/
218	8.0	District 9 	2009	337,327	/title/tt1136608/
219	8.0	A Fistful of Dollars 	1964	71,953	/title/tt0058461/
220	8.0	Ip Man 	2008	72,274	/title/tt1220719/
221	8.0	Harry Potter and the Deathly Hallows: Part 2 	2011	261,722	/title/tt1201607/
222	8.0	The Diving Bell and the Butterfly 	2007	62,048	/title/tt0401383/
223	8.0	Ratatouille 	2007	277,967	/title/tt0382932/
224	8.0	Star Trek 	2009	295,832	/title/tt0796366/
225	8.0	A Streetcar Named Desire 	1951	54,795	/title/tt0044081/
226	8.0	La Haine 	1995	55,774	/title/tt0113247/
227	8.0	3 Idiots 	2009	65,588	/title/tt1187043/
228	8.0	Beauty and the Beast 	1991	165,885	/title/tt0101414/
229	8.0	Shutter Island 	2010	376,496	/title/tt1130884/
230	8.0	Jurassic Park 	1993	298,210	/title/tt0107290/
231	8.0	All Quiet on the Western Front 	1930	34,629	/title/tt0020629/
232	8.0	Nausicaä of the Valley of the Wind 	1984	46,468	/title/tt0087544/
233	8.0	Rain Man 	1988	239,030	/title/tt0095953/
234	8.0	Rosemary's Baby 	1968	92,608	/title/tt0063522/
235	8.0	Incendies 	2010	29,922	/title/tt1255953/
236	8.0	Harvey 	1950	33,791	/title/tt0042546/
237	8.0	The Perks of Being a Wallflower 	2012	109,781	/title/tt1659337/
238	8.0	Like Stars on Earth 	2007	29,426	/title/tt0986264/
239	8.0	Mystic River 	2003	228,251	/title/tt0327056/
240	8.0	Manhattan 	1979	69,367	/title/tt0079522/
241	8.0	Papillon 	1973	53,991	/title/tt0070511/
242	8.0	Spring, Summer, Fall, Winter... and Spring 	2003	37,483	/title/tt0374546/
243	8.0	The Help 	2011	154,398	/title/tt1454029/
244	8.0	The Wrestler 	2008	189,398	/title/tt1125849/
245	8.0	Nosferatu 	1922	48,143	/title/tt0013442/
246	7.9	The Untouchables 	1987	148,527	/title/tt0094226/
247	7.9	Big Fish 	2003	257,009	/title/tt0319061/
248	7.9	The Celebration 	1998	41,904	/title/tt0154420/
249	7.9	In the Mood for Love 	2000	44,329	/title/tt0118694/
250	7.9	Arsenic and Old Lace 	1944	41,674	/title/tt0036613/
